"Timestamp","Answer on a scale of 1-7, where 1 means you're certain it's not pelty and 7 means you're certain it's pelty. 4 means unsure.",""
"2019/12/11 5:15:18 PM EST","7","Awang815"
"2019/12/11 5:15:27 PM EST","6","avizeff"
"2019/12/11 5:15:47 PM EST","7","acealtav"
"2019/12/11 5:17:29 PM EST","7","Nguyend"
"2019/12/11 5:17:49 PM EST","7","varnika"
"2019/12/11 5:19:16 PM EST","7",""
"2019/12/11 5:19:39 PM EST","7",""
"2019/12/11 5:20:10 PM EST","4",""
"2019/12/11 5:20:22 PM EST","7",""
"2019/12/11 5:21:26 PM EST","7",""
"2019/12/11 5:21:45 PM EST","7",""
"2019/12/11 5:23:36 PM EST","7",""
"2019/12/11 5:25:28 PM EST","6",""
"2019/12/11 5:25:35 PM EST","7",""
"2019/12/11 5:27:57 PM EST","6",""
"2019/12/11 5:29:03 PM EST","6",""
"2019/12/11 5:31:01 PM EST","7",""
"2019/12/11 5:31:53 PM EST","7",""
"2019/12/11 5:35:05 PM EST","6",""
"2019/12/11 5:44:45 PM EST","6",""
"2019/12/11 5:44:56 PM EST","7",""
"2019/12/11 5:46:23 PM EST","6",""
"2019/12/11 5:48:25 PM EST","6",""
"2019/12/11 5:48:42 PM EST","6",""
"2019/12/11 5:49:25 PM EST","6",""
"2019/12/11 5:51:54 PM EST","7",""
"2019/12/11 5:57:31 PM EST","6",""
"2019/12/11 6:01:54 PM EST","7",""
"2019/12/11 6:02:49 PM EST","6",""
"2019/12/11 6:03:34 PM EST","6",""
"2019/12/11 6:03:49 PM EST","7",""
"2019/12/11 6:04:56 PM EST","7",""
"2019/12/11 6:07:07 PM EST","7",""
"2019/12/11 6:11:37 PM EST","7",""
"2019/12/11 6:19:08 PM EST","6",""
"2019/12/11 6:29:24 PM EST","7",""
"2019/12/11 6:30:56 PM EST","6",""
"2019/12/11 6:32:29 PM EST","7",""
"2019/12/11 6:35:19 PM EST","7",""
"2019/12/11 6:36:52 PM EST","7",""
"2019/12/11 6:40:13 PM EST","1",""
"2019/12/11 6:46:53 PM EST","7",""
"2019/12/11 6:56:47 PM EST","7",""
"2019/12/11 7:25:43 PM EST","7",""
"2019/12/11 7:28:41 PM EST","7",""
"2019/12/11 7:30:14 PM EST","7",""
"2019/12/11 7:39:53 PM EST","6",""
"2019/12/11 7:53:25 PM EST","7",""
"2019/12/11 9:11:32 PM EST","7",""
"2019/12/11 9:32:58 PM EST","6",""
"2019/12/11 9:53:53 PM EST","6",""
"2019/12/11 10:24:11 PM EST","7",""
"2019/12/11 11:30:40 PM EST","6",""
"2019/12/11 11:39:18 PM EST","7",""
"2019/12/12 12:54:33 AM EST","6",""
"2019/12/12 12:58:04 AM EST","6",""
"2019/12/12 9:19:33 AM EST","6",""
"2019/12/12 10:33:50 AM EST","6",""
"2019/12/12 10:57:03 AM EST","6",""
"2019/12/12 12:47:07 PM EST","6",""
"2019/12/12 1:34:49 PM EST","7",""
"2019/12/12 7:47:26 PM EST","7",""
"2019/12/12 8:53:02 PM EST","6",""
"2019/12/13 9:40:30 AM EST","7",""
"2019/12/14 11:50:51 AM EST","7",""
